id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
340316,RU-0579,small_airport,Gostagayevskaya Airfield,44.999984,37.482398,295.0,EU,RU,RU-KDA,Gostagayevskaya,no,,,ZF4W,,,
340317,RU-0580,small_airport,Borodinskaya Airstrip,46.0928,38.2347,,EU,RU,RU-KDA,Borodinskaya,no,,,,,,
340318,RU-0581,small_airport,Yasenskaya Airstrip,46.3927,38.2848,,EU,RU,RU-KDA,Yasenskaya,no,,,,,,
340319,RU-0582,small_airport,Oktyabr'skiy Airstrip,46.4636,38.2878,,EU,RU,RU-KDA,Oktyabr'skiy,no,,,,,,
340320,RU-0583,small_airport,Zarya Airstrip,46.4812,38.1347,,EU,RU,RU-KDA,Dalniy,no,,,,,,
340321,RU-0584,small_airport,Kamyshevatskaya Airstrip,46.4665,37.9568,,EU,RU,RU-KDA,Kamyshevatskaya,no,,,,,,
340322,RU-0585,small_airport,Komsomolets Airstrip,46.5809,38.2255,,EU,RU,RU-KDA,Komsomolets,no,,,,,,
340323,RU-0586,heliport,Molchanovka Heliport,46.864818,38.632287,,EU,RU,RU-KDA,Molchanovka,no,,,,,,
340609,RU-0587,closed,Musashi Naval Airfield,50.015709,155.398248,36.0,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,"Cape Kurabu, Cape Vasiliev"
35049,RU-0588,small_airport,Orlovka Air Base,51.263302,128.720001,850.0,AS,RU,RU-AMU,Vernoye,no,XHBO,,,,https://en.wikipedia.org/wiki/Orlovka,"ЗА9В, Орловка, ZA9W"
340611,RU-0589,closed,Bettobi Airfield,50.856451,156.469705,62.0,AS,RU,RU-SAK,Baykovo,no,,,,,,
340612,RU-0590,closed,Okeanskoye Airfield,50.189515,155.758625,56.0,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,"Suribachi Airfield, USEU"
340613,RU-0591,closed,Kitanodai Airfield,50.74971,156.131819,,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,
340614,RU-0592,closed,Kakumabetsu Airfield,50.357953,155.560735,,AS,RU,RU-SAK,Severo-Kurilsk,no,,,,,,
340615,RU-0593,small_airport,Matua Airfield,48.050982,153.25502,203.0,AS,RU,RU-SAK,Sarychevo,no,,,,,,"Matsuwa, Cape Tagan, USEK"
340676,RU-0594,closed,Shiomi Airfield,50.760778,156.205222,,AS,RU,RU-SAK,Baykovo,no,,,,,,
340677,RU-0595,closed,Ryponkicha Emergency Airfield,47.541208,152.84058,,AS,RU,RU-SAK,Ryponkicha Island,no,,,,,,"Ushichi-Kitajima, Severo-Ushishir"
340678,RU-0596,closed,Shana Emergency Landing Field,45.226194,147.894278,,EU,RU,RU-SAK,Kurilsk,no,,,,,,
340679,RU-0597,closed,Simushir Heliport,47.129981,152.269344,,EU,RU,RU-SAK,Kraternyy,no,,,,,,Shimushiru Airfield
340680,RU-0598,closed,Toshimoe Naval Floatplane Base,45.017699,147.720139,,EU,RU,RU-SAK,Kurilsk,no,,,,,,
340681,RU-0599,closed,Yakutori Naval Airfield,45.305854,148.392193,469.0,EU,RU,RU-SAK,Kurilsk,no,,,,,,
340790,RU-0600,small_airport,Ivashka Airport,58.571046,162.304749,,AS,RU,RU-KAM,Ivashka,no,,,PP11,,,
340791,RU-0601,heliport,Tilichiki Heliport,60.442861,166.097933,,EU,RU,RU-KAM,Tilichiki,no,,,,,,
340792,RU-0602,heliport,Achayvayam Heliport,61.011202,170.508699,,EU,RU,RU-KAM,Achayvayam,no,UHPJ,,,,,
340793,RU-0603,small_airport,Anadyr Airfield,64.720087,177.46323,66.0,AS,RU,RU-CHU,Anadyr,no,,,,,,
340794,RU-0604,closed,Old Uelkal Airstrip,65.511568,-179.30817,16.0,AS,RU,RU-CHU,Uelkal,no,,,,,,"UHDX, УХДЬ"
340795,RU-0605,small_airport,Uelkal Airstrip,65.530823,-179.287263,,EU,RU,RU-CHU,Uelkal,no,,,,,,
340796,RU-0606,heliport,Yanrakynnot Heliport,64.912535,-172.502671,,EU,RU,RU-CHU,Yanrakynnot,no,,,,,,
340797,RU-0607,heliport,Lorino Heliport,65.505323,-171.713924,,EU,RU,RU-CHU,Lorino,no,,,,,,
340798,RU-0608,heliport,Uelen Heliport,66.164446,-169.850957,,EU,RU,RU-CHU,Uelen,no,,,,,,
340799,RU-0609,heliport,Neshkan Heliport,67.03433,-172.959268,,EU,RU,RU-CHU,Neshkan,no,,,,,,
340800,RU-0610,heliport,Nutelpel'men Heliport,67.424909,-174.92949,,EU,RU,RU-CHU,Nutepel'men,no,,,,,,
340801,RU-0611,heliport,Leningradskiy Heliport,69.368146,178.406343,,AS,RU,RU-CHU,Leningradskiy,no,,,,,,
340802,RU-0612,heliport,Ratmanov (Big Diomede) Heliport,65.810138,-169.029421,,EU,RU,RU-CHU,Ratmanov,no,,,,,,
340803,RU-0613,closed,Ratmanov (Big Diomede) Improvised Airstrip,65.791966,-169.039655,,EU,RU,RU-CHU,Ratmanov,no,,,,,,
340808,RU-0614,small_airport,Nayba Airfield,70.844976,130.68745,,EU,RU,RU-SA,Nayba,no,,,,,,
340809,RU-0615,heliport,Bykovsky Heliport,72.007309,129.109356,,EU,RU,RU-SA,Bykovsky,no,,,,,,
340810,RU-0616,small_airport,Taymylyr Airstrip,72.607271,121.893179,,EU,RU,RU-SA,Taymylyr,no,,,,,,
340811,RU-0617,small_airport,Syndassko Airstrip,73.249726,108.206176,,EU,RU,RU-KYA,Syndassko,no,,,,,,
